"Population and dwelling counts: Canada and population centres 1"
"Frequency: Occasional"
"Table: 98-10-0011-01"
"Release date: 2022-02-09"
"Geography: Canada, Province or territory, Population centre, Population centre part"
"Universe: All persons, 2021 and 2016 censuses – 100% data"
"Variable List: Population and dwelling counts (7)"

,,"Population and dwelling counts (7)","Population, 2021","Population, 2016","Population percentage change, 2016 to 2021"
"Geographic name","Geographic area type","Province or territory abbreviation","2021","2021","2021"
"Toronto","Large urban population centre","Ont.","5,647,656","5,433,590r","3.9"
"Montréal","Large urban population centre","Que.","3,675,219","3,528,651r","4.2"
"Vancouver","Large urban population centre","B.C.","2,426,160","2,268,864r","6.9"
"Calgary","Large urban population centre","Alta.","1,305,550","1,240,413r","5.3"
"Edmonton","Large urban population centre","Alta.","1,151,635","1,070,998r","7.5"
"Ottawa - Gatineau","Large urban population centre","Ont. / Que.","1,068,821","994,576r","7.5"
"Ottawa - Gatineau (Ontario part)","Large urban population centre","Ont.","797,252","737,702r","8.1"
"Ottawa - Gatineau (Quebec part)","Large urban population centre","Que.","271,569","256,874r","5.7"
"Winnipeg","Large urban population centre","Man.","758,515","712,858r","6.4"
"Québec","Large urban population centre","Que.","733,156","708,280r","3.5"
"Hamilton","Large urban population centre","Ont.","729,560","693,362r","5.2"
"Kitchener","Large urban population centre","Ont.","522,888","473,230r","10.5"
"London","Large urban population centre","Ont.","423,369","384,784r","10.0"
"Victoria","Large urban population centre","B.C.","363,222","337,235r","7.7"
"Halifax","Large urban population centre","N.S.","348,634","317,334r","9.9"
"Oshawa","Large urban population centre","Ont.","335,949","309,759r","8.5"
"Windsor","Large urban population centre","Ont.","306,519","288,363r","6.3"
"Saskatoon","Large urban population centre","Sask.","264,637","245,904r","7.6"
"St. Catharines - Niagara Falls","Large urban population centre","Ont.","242,460","229,776r","5.5"
"Regina","Large urban population centre","Sask.","224,996","214,664r","4.8"
"St. John's","Large urban population centre","N.L.","185,565","181,955r","2.0"
"Kelowna","Large urban population centre","B.C.","181,380","160,095r","13.3"
"Barrie","Large urban population centre","Ont.","154,676","146,394r","5.7"
"Sherbrooke","Large urban population centre","Que.","151,157","140,300r","7.7"
"Guelph","Large urban population centre","Ont.","144,356","132,705r","8.8"
"Kanata","Large urban population centre","Ont.","137,118","118,308r","15.9"
"Abbotsford","Large urban population centre","B.C.","132,300","122,163r","8.3"
"Trois-Rivières","Large urban population centre","Que.","128,057","124,158r","3.1"
"Kingston","Large urban population centre","Ont.","127,943","119,061r","7.5"
"Milton","Large urban population centre","Ont.","124,579","101,885r","22.3"
"Moncton","Large urban population centre","N.B.","119,785","109,075r","9.8"
"White Rock","Large urban population centre","B.C.","109,167","93,811r","16.4"
"Nanaimo","Large urban population centre","B.C.","106,079","96,415r","10.0"
"Brantford","Large urban population centre","Ont.","104,413","98,250r","6.3"
"Chicoutimi - Jonquière","Large urban population centre","Que.","103,934","104,741r","-0.8"
"Saint-Jérôme","Large urban population centre","Que.","100,859","91,205r","10.6"

Symbol legend:
r, revised


Abbreviation notes:

List of abbreviations and acronyms found within various Census products.
(https://www12.statcan.gc.ca/census-recensement/2021/ref/symb-ab-acr-eng.cfm)



Footnotes:
1,"<p><strong>Content considerations</strong></p><p>The 2021 Census population counts for a particular geographic area represent the number of Canadians whose usual place of residence is in that area, regardless of where they happened to be on Census Day. Also included are any Canadians who were staying in that area on Census Day and who had no usual place of residence elsewhere in Canada, as well as those considered to be 'non-permanent residents.' For most areas, there is little difference between the number of usual residents and the number of people staying in the area on Census Day. For certain places, however, such as tourist or vacation areas, or those including large work camps, the number of people staying in that area at any particular time could significantly exceed the number of usual residents shown here. The population counts include Canadians living in other countries, but do not include foreign residents living in Canada. Given these differences, users are advised not to interpret population counts as being the number of people living in the reported dwellings.</p><p>The dwelling counts refer to total private dwellings and private dwellings occupied by usual residents in Canada. The census dwelling counts do not include collective dwellings, which are dwellings of a commercial, institutional or communal nature. The usual residents in collective dwellings are, however, included in the population counts.</p><p>Changes occur to the names, boundaries and other characteristics of geographic areas (e.g., census subdivisions may amalgamate, or there may be an annexation or a change of name or status). Since the geographic framework is used for census data collection, the geographic reference date must be set several months before the date of the census in order to have these changes made in time. For the 2021 Census, the geographic reference date was January 1, 2021.</p><p>Land area is the area in square kilometres of the land-based portions of standard geographic areas. The data are unofficial, and are provided for the sole purpose of calculating population density. Land area data for the standard geographic areas reflect the boundaries in effect on January 1, 2021 (the geographic reference date for the 2021 Census of Canada).</p><p>Population centres are classified into three groups, depending on the size of their population:</p><ul><li>small population centres, with a population between 1,000 and 29,999</li><li>medium population centres, with a population between 30,000 and 99,999</li><li>large urban population centres, with a population of 100,000 or more.</li></ul><p><strong>Note:</strong> The ‘Geographic area type’ column in this table is presenting the population centre size groups and not the population centre type. Population centres can be classified as types such as ‘core’, ‘secondary core’ or ‘fringe’. The type indicates the relationship of the population centre to the census metropolitan area (CMA) or to the census agglomeration (CA) structure. This additional information may be found in other products such as GeoSuite.</p><p>Population is defined using population and population density data from the current census and is delineated using the dissemination block. The previous census counts provided in this table are the aggregation of the previous census population counts for the dissemination blocks that constitute the 2016 population centre.</p><p><strong>Definitions</strong></p><p>The Census Dictionary is a reference document which contains detailed definitions of Census of Population concepts, universes, variables, and geographic terms, as well as historical information.</p>"
2,"Excludes census data for one or more incompletely enumerated reserves or settlements."



"How to cite: Statistics Canada. Table 98-10-0011-01  Population and dwelling counts: Canada and population centres"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=9810001101
