Date, Toronto ,Montréal, Ottawa, Vancouver , Calgary , Edmonton
Q4 2019,,,,,,
Q1 2020,,,,,,
Q1 2020,100.0,100.0,100.0,100.0,100.0,100.0
Q1 2020,98.7,102.4,100.1,99.3,101.2,102.3
Q2 2020,97.8,102.1,101.6,101.2,100.2,102.8
Q2 2020,95.0,102.7,101.2,101.4,98.3,101.8
Q2 2020,93.1,102.3,100.9,103.3,96.1,99.9
Q3 2020,90.9,102.6,99.4,103.0,95.5,99.4
Q3 2020,89.8,104.1,100.6,104.9,96.5,100.9
Q3 2020,88.5,105.9,101.2,102.3,97.8,101.7
Q4 2020,87.1,107.6,101.7,101.5,98.6,101.5
Q4 2020,85.3,107.1,99.6,99.7,98.8,100.9
Q4 2020,83.3,106.3,98.5,99.5,98.5,100.7
Q1 2021,81.4,104.8,96.7,98.0,98.0,100.4
Q1 2021,79.8,103.7,96.2,98.0,98.1,100.1
Q1 2021,78.8,102.4,95.2,98.5,99.1,100.4
Q2 2021,78.4,102.2,94.6,99.8,100.1,99.4
Q2 2021,78.5,103.2,94.9,100.4,99.8,98.6
Q2 2021,78.9,104.7,96.4,102.0,100.0,97.4
Q3 2021,79.3,105.2,97.5,104.2,100.7,97.9
Q3 2021,79.8,104.0,98.1,108.5,102.2,98.8
Q3 2021,82.1,103.9,98.1,111.8,102.6,99.4
Q4 2021,83.5,105.7,98.8,113.5,103.3,99.7
Q4 2021,85.7,107.9,98.9,114.0,103.5,99.7
Q4 2021,86.5,108.4,99.0,113.4,103.6,100.1
Q1 2022,87.5,108.4,98.9,113.8,102.5,100.3
Q1 2022,87.8,108.5,100.3,112.9,102.1,100.0
Q1 2022,87.9,109.4,100.5,114.7,103.1,100.5
Q2 2022,88.1,109.2,102.2,116.6,106.9,100.2
Q2 2022,88.6,108.6,101.7,119.5,110.9,101.2
Q2 2022,89.9,109.1,101.3,121.9,116.5,101.3
Q3 2022,92.3,109.7,102.4,124.2,122.0,101.8
Q3 2022,95.1,111.0,104.9,127.1,127.4,102.0
Q3 2022,97.9,110.7,107.9,130.6,130.9,102.9
Q4 2022,102.0,110.8,112.3,133.7,132.8,104.2
Q4 2022,105.2,110.9,116.2,135.0,129.1,105.5
Q4 2022,108.1,112.0,118.7,136.0,125.7,106.8
Q1 2023,107.9,113.2,119.5,136.1,122.0,108.1
Q1 2023,107.6,115.1,118.7,138.8,124.2,108.2
Q1 2023,107.2,116.3,119.1,138.9,126.6,107.8
Q2 2023,107.9,117.3,118.5,141.5,128.7,108.3
Q2 2023,108.8,118.0,118.9,142.5,130.9,110.5
Q2 2023,109.4,118.8,119.2,145.8,132.9,113.0
Q3 2023,110.3,121.1,120.7,149.4,136.0,115.2
Q3 2023,111.3,123.4,120.9,153.3,139.1,116.3
Q3 2023,112.5,126.1,122.7,156.0,141.8,119.6
