Date,Vancouver,Calgary,Edmonton,Toronto,Ottawa,Montréal
Q1 2000,0.067,0.102,0.141,0.077,0.056,
Q2 2000,0.042,0.099,0.133,0.07,0.057,0.129
Q3 2000,0.042,0.094,0.142,0.058,0.008,
Q4 2000,0.039,0.115,0.138,0.06,0.008,0.102
Q1 2001,0.048,0.1,0.126,0.061,0,0.1
Q2 2001,0.058,0.102,0.121,0.072,0.037,0.112
Q3 2001,0.067,0.1,0.116,0.083,0.027,0.11
Q4 2001,0.072,0.108,0.114,0.096,0.032,0.114
Q1 2002,0.088,0.117,0.113,0.103,0.026,0.118
Q2 2002,0.095,0.139,0.123,0.108,0.036,0.123
Q3 2002,0.112,0.131,0.132,0.117,0.03,0.116
Q4 2002,0.125,0.138,0.132,0.121,0.031,0.125
Q1 2003,0.134,0.137,0.13,0.13,0.033,0.143
Q2 2003,0.138,0.138,0.133,0.137,0.03,0.14
Q3 2003,0.137,0.131,0.122,0.143,0.024,0.135
Q4 2003,0.133,0.124,0.118,0.144,0.023,0.132
Q1 2004,0.131,0.113,0.112,0.141,0.025,0.139
Q2 2004,0.127,0.103,0.107,0.144,0.029,0.142
Q3 2004,0.121,0.098,0.101,0.142,0.03,0.137
Q4 2004,0.112,0.084,0.086,0.135,0.04,0.132
Q1 2005,0.102,0.067,0.086,0.13,0.041,0.122
Q2 2005,0.096,0.054,0.082,0.114,0.05,0.117
Q3 2005,0.084,0.038,0.08,0.111,0.038,0.122
Q4 2005,0.078,0.021,0.071,0.096,0.04,0.119
Q1 2006,0.073,0.013,0.069,0.087,0.037,0.117
Q2 2006,0.065,0.006,0.065,0.087,0.036,0.11
Q3 2006,0.057,0.006,0.076,0.09,0.035,0.106
Q4 2006,0.05,0.005,0.074,0.076,0.032,0.104
Q1 2007,0.041,0.018,0.068,0.063,0.032,0.1
Q2 2007,0.035,0.028,0.048,0.064,0.038,0.096
Q3 2007,0.03,0.031,0.051,0.058,0.041,0.088
Q4 2007,0.038,0.034,0.057,0.056,0.04,0.071
Q1 2008,0.03,0.04,0.051,0.045,0.034,0.062
Q2 2008,0.026,0.039,0.05,0.044,0.033,0.064
Q3 2008,0.023,0.041,0.053,0.047,0.031,0.06
Q4 2008,0.031,0.052,0.055,0.049,0.02,0.058
Q1 2009,0.042,0.069,0.061,0.057,0.029,0.064
Q2 2009,0.047,0.089,0.064,0.06,0.026,0.08
Q3 2009,0.06,0.125,0.073,0.068,0.035,0.084
Q4 2009,0.058,0.155,0.079,0.073,0.036,0.087
Q1 2010,0.058,0.143,0.085,0.073,0.039,0.09
Q2 2010,0.056,0.157,0.086,0.071,0.036,0.091
Q3 2010,0.055,0.145,0.091,0.069,0.041,0.088
Q4 2010,0.052,0.13,0.089,0.069,0.04,0.08
Q1 2011,0.044,0.115,0.088,0.063,0.055,0.08
Q2 2011,0.043,0.087,0.084,0.059,0.048,0.075
Q3 2011,0.041,0.07,0.079,0.055,0.047,0.068
Q4 2011,0.034,0.057,0.099,0.052,0.058,0.064
Q1 2012,0.034,0.061,0.095,0.052,0.064,0.072
Q2 2012,0.036,0.05,0.092,0.052,0.058,0.068
Q3 2012,0.034,0.053,0.083,0.053,0.064,0.064
Q4 2012,0.042,0.05,0.083,0.05,0.062,0.069
Q1 2013,0.045,0.057,0.082,0.047,0.063,0.073
Q2 2013,0.046,0.06,0.087,0.049,0.067,0.076
Q3 2013,0.055,0.083,0.086,0.052,0.067,0.079
Q4 2013,0.061,0.091,0.097,0.061,0.071,0.082
Q1 2014,0.062,0.091,0.097,0.064,0.085,0.091
Q2 2014,0.062,0.1,0.095,0.061,0.083,0.094
Q3 2014,0.069,0.091,0.097,0.053,0.084,0.096
Q4 2014,0.068,0.098,0.1,0.059,0.087,0.104
Q1 2015,0.074,0.118,0.101,0.058,0.091,0.11
Q2 2015,0.097,0.13,0.099,0.058,0.089,0.108
Q3 2015,0.089,0.143,0.105,0.055,0.093,0.108
Q4 2015,0.1,0.176,0.107,0.051,0.096,0.112
Q1 2016,0.089,0.202,0.111,0.053,0.095,0.108
Q2 2016,0.091,0.222,0.115,0.049,0.096,0.104
Q3 2016,0.089,0.225,0.133,0.044,0.095,0.11
Q4 2016,0.077,0.25,0.175,0.045,0.103,0.106
Q1 2017,0.073,0.25,0.186,0.046,0.098,0.098
Q2 2017,0.068,0.277,0.206,0.038,0.091,0.093
Q3 2017,0.052,0.274,0.203,0.04,0.096,0.086
Q4 2017,0.05,0.277,0.187,0.037,0.094,0.096
Q1 2018,0.046,0.275,0.169,0.029,0.09,0.099
Q2 2018,0.046,0.278,0.157,0.029,0.088,0.095
Q3 2018,0.044,0.273,0.165,0.031,0.076,0.094
Q4 2018,0.037,0.264,0.182,0.027,0.075,0.094
Q1 2019,0.026,0.265,0.184,0.027,0.078,0.085
Q2 2019,0.025,0.261,0.193,0.026,0.075,0.075
Q3 2019,0.023,0.266,0.202,0.023,0.071,0.074
Q4 2019,0.022,0.272,0.201,0.022,0.067,0.075
Q1 2020,0.022,0.265,0.192,0.021,0.071,0.066
Q2 2020,0.032,0.27,0.197,0.027,0.078,0.075
Q3 2020,0.046,0.287,0.19,0.048,0.088,0.089
Q4 2020,0.058,0.295,0.201,0.073,0.096,0.104
Q1 2021,0.062,0.323,0.197,0.092,0.109,0.108
Q2 2021,0.066,0.327,0.204,0.101,0.107,0.112
Q3 2021,0.076,0.329,0.206,0.1,0.106,0.134
Q4 2021,0.072,0.332,0.211,0.102,0.1,0.137
Q1 2022,0.077,0.328,0.211,0.114,0.105,0.153
Q2 2022,0.072,0.337,0.217,0.12,0.103,0.151
Q3 2022,0.071,0.329,0.224,0.12,0.118,0.159
Q4 2022,0.098,0.326,0.23,0.137,0.126,0.16
Q1 2023,0.104,0.32,0.235,0.154,0.136,0.165
Q2 2023,0.115,0.315,0.243,0.159,0.15,0.17
Q3 2023,0.118,0.309,0.242,0.158,0.142,0.174
